lat,lon,to.work,
13.00770964,77.59314103,1,
12.93750705,77.56603901,6,
13.02737651,77.65974779,1,
13.00968573,77.54169786,3,
13.03387352,77.56141638,3,
12.97307356,77.65247122,3,
13.01257254,77.67579314,2,
12.96964591,77.58426879,4,
13.05636461,77.63450134,1,
12.92307137,77.61718948,5,
13.03387352,77.56141638,2,
12.91825898,77.48051066,3,
12.96614559,77.59234354,2,
13.03800722,77.53944397,4,
13.00823741,77.55163193,3,
12.85833276,77.59899998,3,
13.02737651,77.65974779,6,
13.06694781,77.60947108,1,
12.88706989,77.6001029,6,
12.93980924,77.47874366,3,
13.03387352,77.56141638,1,
13.00107339,77.62200626,2,
13.04033457,77.62199709,1,
13.02705132,77.61634883,1,
13.03387352,77.56141638,2,
13.01257254,77.67579314,2,
12.99507177,77.62936314,3,
13.04033457,77.62199709,2,
13.0709225,77.63061946,2,
12.97879858,77.63420105,4,
12.92156793,77.5811255,4,
12.91924121,77.6021862,6,
12.93172725,77.53623382,6,
13.01318087,77.70075126,2,
12.9407565,77.58897474,4,
13.05636461,77.63450134,1,
13.02191976,77.59640913,2,
12.98422029,77.60601335,2,
12.96833316,77.70397067,3,
13.02178479,77.51159191,3,
12.96039754,77.61360168,6,
13.05816356,77.61132449,1,
12.92055882,77.55419612,5,
13.08469822,77.62654565,1,
13.05789343,77.62459987,1,
13.02191976,77.59640913,1,
13.02891831,77.57783265,1,
13.00881543,77.54624135,4,
12.919344,77.51653722,5,
13.05017687,77.51077005,1,
13.06006049,77.56200671,2,
12.99763177,77.61392474,3,
12.90403366,77.54299499,6,
13.07823763,77.55679417,2,
13.03584109,77.63612707,1,
12.98198207,77.71714379,2,
13.05636461,77.63450134,2,
12.98961491,77.67468291,2,
12.92023113,77.5571471,4,
