lat,lon,to.work,
13.08230351,77.50098154,2,
13.00994692,77.69639611,3,
12.9729725,77.53523496,3,
12.90862165,77.60989219,6,
13.04068298,77.56759644,1,
13.00881543,77.54624135,1,
13.07388379,77.55607119,2,
13.02191976,77.59640913,1,
13.11521928,77.56862913,1,
12.90663147,77.6220606,6,
12.97652371,77.67253643,2,
12.92074707,77.52327422,6,
13.02737651,77.65974779,2,
13.03320747,77.60255968,1,
13.07823763,77.55679417,2,
13.04033457,77.62199709,3,
13.00141738,77.66162592,1,
13.03584109,77.63612707,1,
13.00372273,77.63283073,2,
12.97346911,77.581604,1,
12.93745492,77.62170892,3,
12.98204207,77.55252729,3,
13.06281076,77.58125422,1,
13.05441335,77.59634952,1,
12.98624089,77.66202631,3,
13.03584109,77.63612707,2,
13.02970501,77.60827722,1,
13.02948848,77.56866932,1,
12.92384297,77.63692783,4,
